Date,Price,Link,Name,Edition,Rarity,Available
2018-04-04,0.08,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-05,0.06,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-06,0.09,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-07,0.06,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-08,0.06,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-09,0.07,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-10,0.05,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-11,0.08,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-12,0.08,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-13,0.06,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-14,0.05,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-15,0.06,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-16,0.07,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-17,0.09,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-18,0.07,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-19,0.07,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-20,0.07,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-21,0.11,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-22,0.1,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-23,0.08,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-04-24,0.09,/de/Magic/Products/Singles/Dominaria/Entrei%C3%9Fen,Entrei%C3%9Fen,Dominaria,Common,3438
2018-03-26,0.73,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-27,0.88,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-28,0.9,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-29,0.73,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-30,0.91,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-31,0.99,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-01,0.83,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-02,0.9,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-03,0.82,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-04,0.92,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-05,0.82,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-06,0.8,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-07,0.87,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-08,0.93,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-09,0.79,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-10,0.79,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-11,0.96,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-12,1.07,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-13,0.87,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-14,0.76,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-15,1.1,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-16,0.84,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-17,0.82,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-18,1.1,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-19,0.84,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-20,0.91,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-21,1.47,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-22,0.82,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-23,0.97,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-04-24,1.0,/de/Magic/Products/Singles/Rivals+of+Ixalan/Strahlende+Verhei%C3%9Fung,Strahlende+Verhei%C3%9Fung,Rivals+of+Ixalan,Rare,887
2018-03-26,0.82,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-03-27,0.85,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-03-28,0.67,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-03-29,0.91,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-03-30,0.77,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-03-31,0.86,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-01,0.74,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-02,0.69,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-03,0.96,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-04,0.69,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-05,0.7,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-06,0.76,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-07,0.9,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-08,1.04,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-09,0.68,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-10,0.76,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-11,0.88,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-12,0.8,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-13,0.81,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-14,0.74,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-15,1.02,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-16,0.82,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-17,0.84,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-18,0.78,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-19,0.91,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-20,1.0,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-21,0.72,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
2018-04-22,0.81,/de/Magic/Products/Singles/Kaladesh/Erfindermesse,Erfindermesse,Kaladesh,Rare,2031
